id,text,product_area,customer_segment,channel,sentiment
fb-001,"Bulk export jobs time out for our larger workspaces, so our analysts cannot finish month-end reporting.",data_exports,enterprise,support_ticket,negative
fb-002,"Please add progress and retry controls to bulk exports; today a failed export has to start over.",data_exports,mid_market,in_app,negative
fb-003,"Our team needs role-based access controls before we can invite contractors into the workspace.",permissions,mid_market,customer_call,neutral
fb-004,"Without role-based access controls we may need to move sensitive projects to another product.",permissions,enterprise,email,negative
fb-005,"The dashboard filters are useful, but sharing a saved filter with teammates would save us a lot of setup time.",dashboards,small_business,survey,neutral
fb-006,"Saved and shareable dashboard filters would make our weekly product review much faster.",dashboards,mid_market,customer_call,positive
fb-007,"CSV exports work well for small reports, but anything above a few hundred thousand rows stalls without an error message.",data_exports,enterprise,support_ticket,negative
fb-008,"I would like an email notification when a long-running export is ready instead of keeping the tab open.",data_exports,small_business,in_app,neutral
fb-009,"The API rate limit is too low for our nightly customer sync and causes partial updates almost every morning.",developer_platform,mid_market,support_ticket,negative
fb-010,"Please expose rate-limit headers and a retry-after value so our integration can back off correctly.",developer_platform,startup,community,neutral
fb-011,"Webhooks occasionally arrive out of order, which makes it difficult to keep account status accurate in our CRM.",webhooks,enterprise,support_ticket,negative
fb-012,"A webhook delivery log with payload previews and manual retries would save our support team hours each week.",webhooks,mid_market,customer_call,neutral
fb-013,"The Salesforce integration stopped syncing custom fields after we renamed one of them, and there was no warning.",integrations,enterprise,support_ticket,negative
fb-014,"We need HubSpot company properties in addition to contact properties before the integration is useful for our sales team.",integrations,mid_market,customer_call,neutral
fb-015,"Connecting Slack was straightforward, and the alert previews helped us configure the right channel on the first try.",notifications,small_business,survey,positive
fb-016,"Slack alerts get noisy during incidents because every update posts a new message instead of updating one thread.",notifications,mid_market,in_app,negative
fb-017,"Please add Microsoft Teams as a notification destination; Slack is not approved at our company.",integrations,enterprise,customer_call,neutral
fb-018,"The global search usually finds projects by name, but it does not match customer IDs stored in custom fields.",search,mid_market,support_ticket,negative
fb-019,"Search results should show the workspace and owner because we have several projects with identical names.",search,enterprise,in_app,neutral
